basket_id,item_name
B00001,Eggs
B00001,Beans
B00001,Water
B00001,Bread
B00001,Tea
B00001,Likuni Phala
B00001,Milk
B00002,Water
B00002,Biscuits
B00002,Bread
B00002,Milk
B00003,Chicken
B00003,Potatoes
B00003,Eggs
B00003,Likuni Phala
B00003,Milk
B00004,Cooking Oil
B00004,Water
B00004,Airtime2000
B00004,Toothpaste
B00004,Sugar
B00004,Soap
B00005,Chicken
B00005,Cooking Oil
B00005,Beans
B00005,Bread
B00005,Rice
B00005,Toothpaste
B00005,Airtime1000
B00006,Onions
B00006,Tomatoes
B00006,Bread
B00006,Toothpaste
B00006,Sugar
B00006,Soap
B00007,Soft Drink
B00007,Tomatoes
B00007,Likuni Phala
B00007,Milk
B00008,Soft Drink
B00008,Beans
B00008,Bread
B00008,Likuni Phala
B00008,Soap
B00009,Beans
B00009,Bread
B00010,Onions
B00010,Cooking Oil
B00010,Tomatoes
B00010,Bread
B00010,Rice
B00010,Airtime2000
B00010,Toothpaste
B00010,Sugar
B00010,Soap
B00011,Onions
B00011,Eggs
B00011,Water
B00011,Likuni Phala
B00011,Toothpaste
B00012,Rice
B00012,Onions
B00013,Chicken
B00013,Cooking Oil
B00013,Potatoes
B00013,Toothpaste
B00013,Soap
B00014,Beans
B00014,Cooking Oil
B00015,Beans
B00015,Tea
B00015,Toothpaste
B00015,Soap
B00015,Airtime1000
B00016,Airtime1000
B00016,Toothpaste
B00017,Cooking Oil
B00017,Water
B00017,Beans
B00017,Bread
B00017,Rice
B00017,Likuni Phala
B00017,Milk
B00018,Soft Drink
B00018,Water
B00018,Bread
B00018,Likuni Phala
B00018,Milk
B00019,Cooking Oil
B00019,Tomatoes
B00019,Onions
B00020,Onions
B00020,Cooking Oil
B00020,Potatoes
B00020,Tomatoes
B00020,Beans
B00020,Rice
B00020,Airtime2000
B00020,Likuni Phala
B00020,Biscuits
B00020,Airtime1000
B00021,Biscuits
B00021,Rice
B00021,Milk
B00022,Onions
B00022,Cooking Oil
B00022,Tomatoes
B00022,Beans
B00022,Bread
B00022,Rice
B00022,Toothpaste
B00022,Sugar
B00022,Soap
B00023,Tea
B00023,Likuni Phala
B00023,Chicken
B00024,Potatoes
B00024,Eggs
B00024,Soap
B00024,Biscuits
B00024,Milk
B00025,Water
B00025,Sugar
B00025,Airtime2000
B00025,Onions
B00026,Chicken
B00026,Cooking Oil
B00026,Potatoes
B00026,Eggs
B00026,Water
B00026,Airtime2000
B00026,Toothpaste
B00026,Sugar
B00026,Soap
B00026,Milk
B00027,Onions
B00027,Eggs
B00027,Tomatoes
B00027,Bread
B00027,Biscuits
B00027,Milk
B00028,Onions
B00028,Chicken
B00028,Potatoes
B00028,Water
B00028,Likuni Phala
B00028,Toothpaste
B00028,Soap
B00028,Biscuits
B00029,Airtime1000
B00029,Airtime2000
B00030,Water
B00030,Bread
B00030,Rice
B00030,Likuni Phala
B00030,Soap
B00031,Onions
B00031,Tomatoes
B00031,Water
B00031,Airtime2000
B00031,Airtime1000
B00032,Sugar
B00032,Airtime1000
B00032,Milk
B00033,Soft Drink
B00033,Rice
B00033,Chicken
B00034,Water
B00034,Airtime1000
B00034,Sugar
B00034,Likuni Phala
B00035,Cooking Oil
B00035,Tea
B00035,Tomatoes
B00035,Likuni Phala
B00036,Beans
B00036,Sugar
B00036,Toothpaste
B00037,Cooking Oil
B00037,Eggs
B00037,Soap
B00037,Toothpaste
B00038,Cooking Oil
B00039,Potatoes
B00039,Tomatoes
B00039,Eggs
B00039,Water
B00039,Likuni Phala
B00040,Onions
B00040,Milk
B00041,Biscuits
B00041,Potatoes
B00042,Tea
B00042,Toothpaste
B00042,Rice
B00042,Milk
B00043,Soap
B00043,Tea
B00043,Eggs
B00043,Onions
B00044,Onions
B00044,Cooking Oil
B00044,Potatoes
B00044,Soap
B00044,Bread
B00044,Tea
B00044,Toothpaste
B00044,Biscuits
B00044,Milk
B00045,Airtime2000
B00045,Toothpaste
B00045,Sugar
B00045,Biscuits
B00045,Milk
B00046,Chicken
B00046,Potatoes
B00046,Rice
B00046,Airtime2000
B00046,Biscuits
B00047,Chicken
B00047,Onions
B00047,Cooking Oil
B00047,Tomatoes
B00047,Water
B00047,Beans
B00047,Rice
B00047,Biscuits
B00048,Soap
B00048,Beans
B00048,Tea
B00048,Bread
B00048,Airtime2000
B00048,Likuni Phala
B00048,Biscuits
B00048,Milk
B00049,Onions
B00049,Chicken
B00049,Water
B00049,Bread
B00049,Airtime2000
B00049,Likuni Phala
B00050,Soft Drink
B00050,Cooking Oil
B00050,Airtime1000
B00050,Chicken
B00051,Onions
B00051,Potatoes
B00051,Eggs
B00051,Likuni Phala
B00051,Toothpaste
B00051,Biscuits
B00051,Airtime1000
B00052,Beans
B00052,Potatoes
B00052,Eggs
B00052,Airtime2000
B00053,Soft Drink
B00053,Likuni Phala
B00053,Chicken
B00053,Toothpaste
B00054,Tomatoes
B00054,Tea
B00054,Rice
B00054,Airtime2000
B00054,Soap
B00055,Soft Drink
B00055,Cooking Oil
B00055,Eggs
B00055,Airtime2000
B00055,Sugar
B00056,Soft Drink
B00056,Chicken
B00056,Beans
B00056,Tea
B00056,Sugar
B00056,Soap
B00056,Airtime1000
B00057,Onions
B00057,Cooking Oil
B00057,Potatoes
B00057,Eggs
B00057,Tomatoes
B00057,Beans
B00057,Water
B00057,Rice
B00057,Airtime2000
B00057,Toothpaste
B00057,Biscuits
B00057,Airtime1000
B00058,Beans
B00058,Bread
B00058,Soft Drink
B00058,Toothpaste
B00059,Tomatoes
B00059,Bread
B00059,Sugar
B00059,Soap
B00059,Airtime1000
B00060,Onions
B00061,Beans
B00061,Airtime1000
B00061,Likuni Phala
B00061,Milk
B00062,Onions
B00062,Soap
B00062,Toothpaste
B00062,Biscuits
B00062,Airtime1000
B00063,Beans
B00063,Bread
B00063,Rice
B00063,Airtime2000
B00063,Likuni Phala
B00063,Sugar
B00064,Water
B00064,Rice
B00064,Eggs
B00064,Tomatoes
B00065,Sugar
B00065,Bread
B00065,Potatoes
B00065,Milk
B00066,Tomatoes
B00066,Beans
B00066,Water
B00066,Tea
B00066,Rice
B00066,Likuni Phala
B00067,Soft Drink
B00067,Biscuits
B00067,Tea
B00067,Likuni Phala
B00068,Potatoes
B00068,Eggs
B00068,Water
B00068,Bread
B00068,Milk
B00069,Chicken
B00069,Cooking Oil
B00069,Eggs
B00069,Beans
B00069,Bread
B00069,Likuni Phala
B00069,Sugar
B00069,Milk
B00070,Onions
B00070,Tomatoes
B00070,Bread
B00070,Rice
B00070,Toothpaste
B00070,Milk
B00071,Cooking Oil
B00071,Tea
B00071,Biscuits
B00071,Eggs
B00072,Eggs
B00072,Tea
B00072,Airtime2000
B00072,Toothpaste
B00072,Sugar
B00072,Biscuits
B00072,Airtime1000
B00073,Biscuits
B00073,Bread
B00074,Water
B00074,Soap
B00074,Chicken
B00074,Toothpaste
B00075,Onions
B00075,Tomatoes
B00075,Eggs
B00075,Water
B00075,Bread
B00075,Tea
B00075,Likuni Phala
B00075,Milk
B00076,Biscuits
B00076,Potatoes
B00076,Rice
B00076,Likuni Phala
B00077,Chicken
B00077,Onions
B00077,Biscuits
B00077,Cooking Oil
B00077,Tomatoes
B00077,Water
B00077,Rice
B00077,Likuni Phala
B00077,Toothpaste
B00077,Soap
B00077,Airtime1000
B00078,Soft Drink
B00078,Onions
B00078,Tomatoes
B00078,Bread
B00078,Rice
B00078,Toothpaste
B00078,Soap
B00079,Chicken
B00079,Potatoes
B00079,Eggs
B00079,Water
B00079,Airtime2000
B00080,Cooking Oil
B00080,Eggs
B00080,Beans
B00080,Bread
B00080,Rice
B00080,Airtime2000
B00080,Soap
B00080,Milk
B00081,Beans
B00081,Cooking Oil
B00081,Onions
B00081,Milk
B00082,Biscuits
B00082,Likuni Phala
B00082,Onions
B00083,Soft Drink
B00083,Airtime2000
B00083,Toothpaste
B00083,Soap
B00083,Airtime1000
B00084,Cooking Oil
B00084,Potatoes
B00084,Beans
B00084,Bread
B00084,Tea
B00084,Rice
