txn_id,district,region,merchant_category,txn_amount_mwk,txn_hour,txn_count_last_24h,device_changes_last_30d,distance_from_home_km,is_known_anomaly
T00001,Salima,Central,Pharmacy,37908.01,21,6,1,55.02,0
T00002,Karonga,Northern,Grocery,23232.71,15,4,0,38.78,0
T00003,Kasungu,Central,Restaurant,28357.55,21,7,0,0.0,0
T00004,Karonga,Northern,Grocery,17904.68,10,2,1,52.01,0
T00005,Rumphi,Northern,Pharmacy,21499.61,8,1,0,21.62,0
T00006,Rumphi,Northern,Hardware,19150.82,10,1,0,0.0,0
T00007,Mangochi,Southern,Restaurant,67144.43,4,17,5,605.94,1
T00008,Mzimba,Northern,Grocery,17261.62,15,5,1,0.0,0
T00009,Thyolo,Southern,Grocery,4093.07,18,1,0,3.65,0
T00010,Karonga,Northern,Hardware,11313.74,12,3,0,20.5,0
T00011,Rumphi,Northern,Grocery,56691.84,20,4,1,48.93,0
T00012,Karonga,Northern,Airtime,294536.51,23,39,7,832.12,1
T00013,Zomba,Southern,Hardware,16581.59,19,2,2,0.0,0
T00014,Blantyre,Southern,Hardware,23693.42,20,4,0,0.0,0
T00015,Salima,Central,Grocery,84208.3,17,6,2,15.08,0
T00016,Mzuzu,Northern,Fuel,28677.31,8,2,1,7.52,0
T00017,Salima,Central,Grocery,2855.91,13,4,2,33.61,0
T00018,Dedza,Central,Fuel,11354.78,9,6,1,21.16,0
T00019,Zomba,Southern,Grocery,16415.2,6,5,0,0.0,0
T00020,Dedza,Central,Fuel,29667.08,10,3,0,19.26,0
T00021,Thyolo,Southern,Grocery,22684.87,15,3,1,0.0,0
T00022,Rumphi,Northern,Grocery,26383.63,9,7,0,20.9,0
T00023,Mzimba,Northern,Restaurant,11381.19,7,1,0,23.32,0
T00024,Lilongwe,Central,Hardware,18682.21,6,4,2,8.92,0
T00025,Zomba,Southern,Pharmacy,11646.21,14,3,0,0.0,0
T00026,Zomba,Southern,Fuel,25395.17,20,5,2,27.09,0
T00027,Zomba,Southern,Hardware,11710.47,15,8,2,54.79,0
T00028,Salima,Central,Hardware,65534.58,7,2,0,3.94,0
T00029,Mangochi,Southern,Fuel,16114.72,12,1,2,67.78,0
T00030,Dedza,Central,Hardware,24514.23,20,1,0,30.23,0
T00031,Thyolo,Southern,Pharmacy,14112.54,15,2,0,6.53,0
T00032,Thyolo,Southern,Grocery,16912.05,17,1,3,1.74,0
T00033,Karonga,Northern,Hardware,10706.72,19,5,0,22.29,0
T00034,Thyolo,Southern,Restaurant,17358.91,7,4,1,27.04,0
T00035,Kasungu,Central,Hardware,16254.01,12,3,1,11.25,0
T00036,Dedza,Central,Fuel,9283.63,12,6,0,7.04,0
T00037,Rumphi,Northern,Grocery,25557.2,16,3,0,0.0,0
T00038,Lilongwe,Central,Restaurant,813649.11,1,24,6,1084.98,1
T00039,Lilongwe,Central,Airtime,13002.01,10,3,1,0.0,0
T00040,Kasungu,Central,Airtime,55534.98,8,3,0,0.0,0
T00041,Dedza,Central,Airtime,32177.61,13,3,0,39.33,0
T00042,Mangochi,Southern,Airtime,129315.93,2,29,9,312.24,1
T00043,Karonga,Northern,Grocery,94212.95,9,5,1,12.78,0
T00044,Dedza,Central,Grocery,116677.46,9,1,0,0.0,0
T00045,Dedza,Central,Restaurant,52466.58,8,5,1,27.49,0
T00046,Dedza,Central,Hardware,30564.08,17,2,1,7.89,0
T00047,Thyolo,Southern,Grocery,28855.98,17,4,1,13.01,0
T00048,Rumphi,Northern,Fuel,27279.55,15,4,0,63.79,0
T00049,Zomba,Southern,Restaurant,37842.8,7,2,2,19.77,0
T00050,Mzimba,Northern,Fuel,11117.7,19,2,0,20.05,0
T00051,Karonga,Northern,Grocery,765523.01,1,23,5,757.1,1
T00052,Salima,Central,Fuel,18594.67,13,3,0,0.0,0
T00053,Blantyre,Southern,Grocery,8081.62,8,5,0,0.0,0
T00054,Dedza,Central,Hardware,15053.87,10,2,2,21.93,0
T00055,Rumphi,Northern,Grocery,25169.06,15,2,0,48.04,0
T00056,Mzimba,Northern,Grocery,50690.67,12,1,0,18.2,0
T00057,Mangochi,Southern,Hardware,26960.36,12,5,2,0.0,0
T00058,Kasungu,Central,Grocery,5046.36,14,6,3,10.89,0
T00059,Thyolo,Southern,Airtime,9981.12,19,5,2,0.0,0
T00060,Dedza,Central,Airtime,12103.31,14,4,1,3.75,0
T00061,Karonga,Northern,Hardware,11497.61,21,2,0,0.38,0
T00062,Mzimba,Northern,Grocery,9595.68,10,3,1,2.48,0
T00063,Mzimba,Northern,Grocery,757115.2,3,12,5,1174.81,1
T00064,Mzimba,Northern,Restaurant,20009.8,7,2,2,59.01,0
T00065,Mzimba,Northern,Pharmacy,23862.57,11,4,0,25.55,0
T00066,Rumphi,Northern,Fuel,39775.45,14,1,4,0.0,0
T00067,Lilongwe,Central,Fuel,32038.08,12,3,1,0.24,0
T00068,Salima,Central,Grocery,34390.12,8,2,1,82.38,0
T00069,Mzuzu,Northern,Grocery,18418.02,10,4,1,26.45,0
T00070,Dedza,Central,Pharmacy,59817.58,16,5,0,21.9,0
T00071,Lilongwe,Central,Grocery,17442.43,13,3,1,0.0,0
T00072,Lilongwe,Central,Airtime,8264.66,8,1,2,0.0,0
T00073,Mzimba,Northern,Grocery,15070.81,9,3,1,6.21,0
T00074,Zomba,Southern,Fuel,79020.31,15,1,3,16.33,0
T00075,Dedza,Central,Hardware,9499.18,15,7,1,26.54,0
T00076,Kasungu,Central,Airtime,49234.01,14,1,0,28.88,0
T00077,Mzuzu,Northern,Restaurant,15882.95,19,5,0,64.94,0
T00078,Thyolo,Southern,Hardware,44116.4,15,2,2,45.34,0
