event_time,store_id,queue_length,transactions_last_15min,stock_alerts
2025-06-01 08:00:00,STORE10,2,2,0
2025-06-01 08:03:00,STORE11,6,7,0
2025-06-01 08:11:00,STORE06,2,7,0
2025-06-01 08:14:00,STORE12,3,5,0
2025-06-01 08:18:00,STORE08,3,8,0
2025-06-01 08:23:00,STORE09,2,7,1
2025-06-01 08:32:00,STORE12,0,11,3
2025-06-01 08:33:00,STORE09,3,7,0
2025-06-01 08:42:00,STORE11,3,2,0
2025-06-01 08:43:00,STORE06,5,3,2
2025-06-01 08:50:00,STORE05,1,3,1
2025-06-01 08:56:00,STORE08,2,7,0
2025-06-01 09:02:00,STORE01,3,8,0
2025-06-01 09:07:00,STORE03,4,7,0
2025-06-01 09:08:00,STORE12,3,7,0
2025-06-01 09:16:00,STORE04,7,6,0
2025-06-01 09:20:00,STORE12,3,12,4
2025-06-01 09:26:00,STORE04,3,6,0
2025-06-01 09:31:00,STORE11,2,9,0
2025-06-01 09:36:00,STORE10,8,7,2
2025-06-01 09:38:00,STORE09,2,9,0
2025-06-01 09:46:00,STORE01,5,4,0
2025-06-01 09:50:00,STORE05,7,11,0
2025-06-01 09:57:00,STORE04,3,10,1
2025-06-01 09:59:00,STORE08,3,8,2
2025-06-01 10:07:00,STORE07,5,7,2
2025-06-01 10:10:00,STORE02,1,9,1
2025-06-01 10:14:00,STORE01,3,7,0
2025-06-01 10:21:00,STORE02,4,7,1
2025-06-01 10:27:00,STORE09,3,9,2
2025-06-01 10:30:00,STORE10,5,10,2
2025-06-01 10:34:00,STORE06,1,5,2
2025-06-01 10:38:00,STORE02,7,5,0
2025-06-01 10:47:00,STORE03,6,7,0
2025-06-01 10:48:00,STORE06,0,9,0
2025-06-01 10:53:00,STORE01,3,12,0
2025-06-01 11:00:00,STORE02,0,5,0
2025-06-01 11:07:00,STORE07,9,8,0
2025-06-01 11:12:00,STORE04,6,7,1
2025-06-01 11:17:00,STORE03,3,13,1
2025-06-01 11:18:00,STORE03,3,10,0
2025-06-01 11:23:00,STORE03,6,6,1
2025-06-01 11:32:00,STORE04,1,4,0
2025-06-01 11:33:00,STORE02,4,8,1
2025-06-01 11:42:00,STORE11,3,10,0
2025-06-01 11:47:00,STORE07,2,8,2
2025-06-01 11:49:00,STORE08,2,9,0
2025-06-01 11:56:00,STORE01,5,7,0
2025-06-01 11:58:00,STORE10,3,6,1
2025-06-01 12:03:00,STORE11,6,6,1
2025-06-01 12:08:00,STORE07,4,8,2
2025-06-01 12:15:00,STORE03,4,7,2
2025-06-01 12:19:00,STORE09,3,6,0
2025-06-01 12:26:00,STORE11,7,7,0
2025-06-01 12:28:00,STORE05,2,7,0
2025-06-01 12:33:00,STORE06,4,1,0
2025-06-01 12:40:00,STORE04,5,9,2
2025-06-01 12:45:00,STORE09,4,6,0
2025-06-01 12:51:00,STORE10,5,7,1
2025-06-01 12:57:00,STORE08,7,4,1
2025-06-01 13:01:00,STORE04,1,6,1
2025-06-01 13:06:00,STORE09,3,7,0
2025-06-01 13:11:00,STORE06,3,11,2
2025-06-01 13:13:00,STORE06,7,5,0
2025-06-01 13:21:00,STORE07,5,4,0
2025-06-01 13:24:00,STORE05,2,8,1
2025-06-01 13:31:00,STORE04,6,5,0
2025-06-01 13:35:00,STORE11,4,8,1
2025-06-01 13:41:00,STORE12,4,7,2
2025-06-01 13:47:00,STORE10,6,10,1
2025-06-01 13:52:00,STORE04,3,9,1
2025-06-01 13:56:00,STORE11,5,8,2
2025-06-01 14:01:00,STORE05,4,10,0
2025-06-01 14:07:00,STORE05,2,4,1
2025-06-01 14:09:00,STORE07,5,7,2
2025-06-01 14:16:00,STORE07,5,8,1
2025-06-01 14:19:00,STORE06,4,9,0
2025-06-01 14:25:00,STORE08,8,3,0
2025-06-01 14:31:00,STORE07,5,8,1
2025-06-01 14:37:00,STORE05,4,5,0
2025-06-01 14:39:00,STORE06,3,7,0
2025-06-01 14:44:00,STORE02,6,1,2
2025-06-01 14:52:00,STORE05,4,11,2
2025-06-01 14:53:00,STORE03,4,15,1
2025-06-01 15:02:00,STORE05,3,2,1
2025-06-01 15:03:00,STORE11,3,3,0
2025-06-01 15:08:00,STORE01,7,4,3
2025-06-01 15:16:00,STORE08,4,8,1
2025-06-01 15:19:00,STORE08,5,5,0
2025-06-01 15:23:00,STORE04,3,10,0
2025-06-01 15:28:00,STORE06,2,12,2
2025-06-01 15:36:00,STORE05,7,1,0
2025-06-01 15:41:00,STORE07,4,9,2
2025-06-01 15:44:00,STORE02,5,7,0
2025-06-01 15:52:00,STORE06,2,6,1
2025-06-01 15:54:00,STORE10,4,5,2
2025-06-01 15:58:00,STORE09,3,4,1
2025-06-01 16:04:00,STORE06,4,6,3
2025-06-01 16:11:00,STORE10,4,5,1
2025-06-01 16:17:00,STORE01,5,5,1
2025-06-01 16:22:00,STORE07,4,5,0
2025-06-01 16:23:00,STORE03,8,5,3
2025-06-01 16:31:00,STORE07,5,6,1
2025-06-01 16:36:00,STORE05,2,6,1
2025-06-01 16:39:00,STORE04,2,9,2
2025-06-01 16:44:00,STORE05,4,1,1
2025-06-01 16:50:00,STORE12,3,3,1
2025-06-01 16:54:00,STORE07,1,10,0
2025-06-01 16:59:00,STORE12,8,5,1
2025-06-01 17:04:00,STORE06,4,5,0
2025-06-01 17:11:00,STORE12,6,5,0
2025-06-01 17:14:00,STORE12,4,8,0
2025-06-01 17:21:00,STORE05,3,8,1
2025-06-01 17:24:00,STORE08,3,7,0
2025-06-01 17:31:00,STORE05,4,7,1
2025-06-01 17:36:00,STORE10,13,5,0
2025-06-01 17:38:00,STORE06,6,7,1
2025-06-01 17:44:00,STORE09,6,5,1
2025-06-01 17:49:00,STORE02,2,9,0
2025-06-01 17:54:00,STORE04,1,9,1
2025-06-01 18:00:00,STORE02,5,8,3
2025-06-01 18:04:00,STORE07,2,7,0
2025-06-01 18:09:00,STORE02,3,4,0
2025-06-01 18:16:00,STORE09,6,3,0
2025-06-01 18:19:00,STORE06,4,9,1
2025-06-01 18:26:00,STORE08,7,5,3
2025-06-01 18:29:00,STORE04,2,5,2
2025-06-01 18:37:00,STORE08,7,9,1
2025-06-01 18:42:00,STORE10,2,4,1
2025-06-01 18:47:00,STORE05,4,6,0
2025-06-01 18:52:00,STORE05,3,8,0
2025-06-01 18:55:00,STORE01,3,9,0
2025-06-01 19:00:00,STORE12,2,5,1
2025-06-01 19:03:00,STORE04,3,11,0
2025-06-01 19:12:00,STORE08,4,9,0
2025-06-01 19:15:00,STORE07,3,7,0
2025-06-01 19:19:00,STORE12,9,6,0
2025-06-01 19:27:00,STORE01,3,3,1
2025-06-01 19:32:00,STORE11,7,11,1
2025-06-01 19:37:00,STORE05,2,7,2
2025-06-01 19:38:00,STORE05,4,7,1
2025-06-01 19:44:00,STORE08,4,7,0
2025-06-01 19:49:00,STORE07,2,11,2
2025-06-01 19:55:00,STORE11,4,9,1
2025-06-01 20:02:00,STORE02,4,5,0
2025-06-01 20:07:00,STORE01,6,7,0
2025-06-01 20:09:00,STORE03,4,10,1
2025-06-01 20:16:00,STORE06,5,12,1
2025-06-01 20:19:00,STORE11,2,5,1
2025-06-01 20:26:00,STORE10,5,10,0
2025-06-01 20:29:00,STORE08,1,10,0
2025-06-01 20:36:00,STORE06,1,6,1
2025-06-01 20:42:00,STORE03,2,4,2
